id,tooltip,image
1080643375960707092,Cap,https://i.imgur.com/sDNrUGo.png
848339671629299742,Code,https://i.imgur.com/pHkYsBw.gif
848339671629299742,SunSOG,https://i.imgur.com/EBcoTao.png
789872551731527690,Mii,https://i.imgur.com/xyi8omd.png
789872551731527690,Katsuki Bakugo,https://i.imgur.com/tcwhd3T.png
1243063117852835941,Equibot,https://i.imgur.com/57ATLZu.png
387790666484285441,HEHE,https://i.imgur.com/PSPgNBw.png
387790666484285441,MF BE LIKE,https://i.imgur.com/WTcOA9u.png
387790666484285441,DUMB AHH DOG,https://i.imgur.com/lLsK1Qx.png
387790666484285441,LOOK AT ME LOOK AT ME,https://i.imgur.com/vjkjlZu.png
387790666484285441,Tank!,https://i.imgur.com/aolkVTj.png
442126761652649994,Raiden,https://i.imgur.com/XciUzTE.png
790562534503612437,Obama Prism,https://i.imgur.com/xNtOXI8.gif
929208515883569182,Trans Cat,https://cdn.nest.rip/uploads/699febe1-bfa3-422e-bb00-2007b126a67d.png
929208515883569182,Certified Freak,https://cdn.nest.rip/uploads/649fc72f-feeb-420b-839b-7bb496dcc113.png
976176454511509554,Tobleronecord Contributor,https://cdn.nest.rip/uploads/a012f556-921d-404b-913f-c3ad3b91a168.png
328165170536775680,vsync,https://cdn.nest.rip/uploads/4e782e66-ea22-436c-af39-21e97a44cfa5.gif
1183181983908646913,Suncord Donor,https://cdn.nest.rip/uploads/78cb1e77-b7a6-4242-9089-e91f866159bf.png
1183181983908646913,wire,https://cdn.nest.rip/uploads/0d407302-2dc8-4e57-98f6-38d78bd3d7c6.png
1183181983908646913,money,https://cdn.nest.rip/uploads/bb3f47db-572d-422b-a190-055e4b2b61a2.gif
1183181983908646913,Wired,https://cdn.nest.rip/uploads/eb3227d2-37df-4fa3-9c68-6770797735fb.gif
442626774841556992,Suncord Donor,https://cdn.nest.rip/uploads/78cb1e77-b7a6-4242-9089-e91f866159bf.png
442626774841556992,>~~<,https://cdn.nest.rip/uploads/0cb8b42d-efab-46c8-a5d7-ff018f060df5.webp
1189903210564038697,Hi,https://cdn.nest.rip/uploads/d64a1e6c-f370-4b1d-a9c7-a608827d2174.jpg
1184919955054022657,listen,https://cdn.nest.rip/uploads/c3191e4d-0696-4af1-91a3-ac7f5b45d617.jpg
1235921714425106493,me,https://cdn.nest.rip/uploads/96ca3016-5fdf-4d87-8c77-5bd69acd5620.png
689165844835860522,:3,https://cdn.nest.rip/uploads/5168e75e-53ea-4845-b645-dae9d18b5983.png"
689165844835860522,catkiss,https://cdn.nest.rip/uploads/43d4dca3-77e4-46cd-b47e-8cdb5ae98832.gif
689165844835860522,Autistic,https://cdn.nest.rip/uploads/b29d4462-5b42-4e64-a514-59cd012c4ab8.png
1103990609171193867,I STEAL CARS,https://cdn.nest.rip/uploads/f4beb1cd-ce46-4384-8c29-c6c4142f4339.png
1049056042266394766,21,https://cdn.nest.rip/uploads/495bfe5c-3d9d-48b0-a184-d76de2935f92.png
1183870467757576254,d,https://cdn.nest.rip/uploads/e3650f2b-c9e8-444a-87ed-b5741e6e57a0.jpg
825069530376044594,blehhh,https://cdn.nest.rip/uploads/6a72609d-edd0-4ed4-acd2-9cba46f5bbe8.png
658592832596082688,>skull<,https://cdn.nest.rip/uploads/22f71a0f-1793-428d-a923-de70aece4210.PNG
658592832596082688,schizo tranny,https://cdn.nest.rip/uploads/60850bae-61b5-4f0c-af18-eedc7b1dfa17.png
1221856088299667497,King,https://cdn.nest.rip/uploads/a6f3b3d4-b035-467e-9784-03ac8da7f741.gif
1181174180578857036,xi,https://cdn.nest.rip/uploads/fe6505a3-f3cb-4fa5-9b68-eeca89a589f3.png
1181174180578857036,xi jinping,https://cdn.nest.rip/uploads/55b87b5f-39b9-4867-b7fa-3f0226f31047.png
861631850681729045,just the random guy with an heart as his pfp",https://cdn.nest.rip/uploads/96df70fc-2c61-4edb-8a1b-cee106814682.gif
630151942135480370,Suncord Donor,https://cdn.nest.rip/uploads/78cb1e77-b7a6-4242-9089-e91f866159bf.png
630151942135480370,nyx's Supporter,https://cdn.nest.rip/uploads/f29a1521-6c26-4c31-8e1e-cb6ebb74e3ce.jpg
1223194674546737183,Suncord Donor,https://cdn.nest.rip/uploads/78cb1e77-b7a6-4242-9089-e91f866159bf.png
1223194674546737183,blehhh,https://cdn.nest.rip/uploads/6a72609d-edd0-4ed4-acd2-9cba46f5bbe8.png
